DOB,Date,Event_Name,Fighter_Name,Height,Location,Method,Passes,Reach,Result,Round,Stance,Strikes,Strikes_Per_Min,Submission_Attempts,TD_Avg,Takedowns,Time,Weight,Weight_Class
"Sep 07, 1988","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Kevin Aguilar,"5' 7""","['\n\n      Greenville, South Carolina, USA\n    ']",,0,"73""",Dan Ige,3,Orthodox,33,3.78,0,0.25,1,5:00,145 lbs.,Featherweight
"Feb 11, 1989","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Andrea Lee,"5' 6""","['\n\n      Greenville, South Carolina, USA\n    ']",U-DEC,2,"69""",Andrea Lee,3,Orthodox,73,5.33,0,1.33,1,5:00,125 lbs.,Women's Flyweight
"Aug 06, 1991","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Dan Ige,"5' 7""","['\n\n      Greenville, South Carolina, USA\n    ']",U-DEC,3,"71""",Dan Ige,3,Orthodox,71,4.15,0,2.73,1,5:00,145 lbs.,Featherweight
"Jul 24, 1985","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Anderson Dos Santos,"5' 5""","['\n\n      Greenville, South Carolina, USA\n    ']",,4,"70""",Andre Ewell,3,Orthodox,35,2.70,0,1.00,2,5:00,135 lbs.,Bantamweight
"Nov 05, 1992","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Kevin Holland,"6' 3""","['\n\n      Greenville, South Carolina, USA\n    ']",U-DEC,0,"81""",Kevin Holland,3,Orthodox,58,4.35,0,1.21,0,5:00,185 lbs.,Middleweight
"May 03, 1989","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Bryan Barberena,"6' 0""","['\n\n      Greenville, South Carolina, USA\n    ']",Kick,1,"72""",Randy Brown,3,Southpaw,47,5.65,0,0.26,0,2:54,170 lbs.,Welterweight
"Jan 21, 1988","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Andre Ewell,"5' 8""","['\n\n      Greenville, South Carolina, USA\n    ']",U-DEC,0,"75""",Andre Ewell,3,Southpaw,73,3.19,0,0.34,0,5:00,135 lbs.,Bantamweight
"May 21, 1989","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Renato Moicano,"5' 11""","['\n\n      Greenville, South Carolina, USA\n    ']",Punch,0,"72""",Chan Sung Jung,1,Orthodox,0,5.53,0,1.16,0,0:58,145 lbs.,Featherweight
"Jul 08, 1990","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Randy Brown,"6' 3""","['\n\n      Greenville, South Carolina, USA\n    ']",KO/TKO,0,"78""",Randy Brown,3,Orthodox,89,3.48,0,0.85,0,2:54,170 lbs.,Welterweight
"Apr 06, 1994","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Benito Lopez,"5' 10""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,0,"73""",Benito Lopez,3,Switch,54,4.49,0,0.00,0,5:00,135 lbs.,Bantamweight
"Mar 17, 1987","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Chan Sung Jung,"5' 7""","['\n\n      Greenville, South Carolina, USA\n    ']",KO/TKO,2,"72""",Chan Sung Jung,1,Orthodox,16,4.25,0,0.81,0,0:58,145 lbs.,Featherweight
"Aug 04, 1993","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Brianna Van Buren,"5' 0""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,0,"62""",Brianna Van Buren,3,Southpaw,72,4.80,0,3.00,3,5:00,115 lbs.,Women's Strawweight
"Mar 11, 1991","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Livinha Souza,"5' 3""","['\n\n      Sacramento, California, USA\n    ']",,0,"63""",Brianna Van Buren,3,Orthodox,23,1.79,0,3.35,2,5:00,115 lbs.,Women's Strawweight
"Feb 13, 1993","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Liu Pingyuan,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",Knee,0,"72""",Jonathan Martinez,3,Orthodox,27,2.60,0,0.34,0,3:54,135 lbs.,Bantamweight
"Feb 22, 1985","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Ryan Hall,"5' 10""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,0,"70""",Ryan Hall,3,,36,2.32,1,0.31,0,5:00,145 lbs.,Featherweight
"Apr 20, 1994","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Jonathan Martinez,"5' 8""","['\n\n      Sacramento, California, USA\n    ']",KO/TKO,0,"70""",Jonathan Martinez,3,Southpaw,32,3.42,0,0.68,0,3:54,135 lbs.,Bantamweight
"Aug 19, 1989","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Julianna Pena,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,2,"69""",Julianna Pena,3,,45,2.96,0,2.60,2,5:00,135 lbs.,Women's Bantamweight
"Dec 16, 1988","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Nicco Montano,"5' 5""","['\n\n      Sacramento, California, USA\n    ']",,5,"65""",Julianna Pena,3,Southpaw,38,5.60,0,2.25,3,5:00,135 lbs.,Women's Bantamweight
"Oct 11, 1990","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Sheymon Moraes,"5' 8""","['\n\n      Sacramento, California, USA\n    ']",Punch,0,"72""",Andre Fili,1,Orthodox,11,3.00,0,0.00,0,3:07,145 lbs.,Featherweight
"Jun 25, 1990","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Andre Fili,"5' 11""","['\n\n      Sacramento, California, USA\n    ']",KO/TKO,0,"74""",Andre Fili,1,Orthodox,19,4.08,0,2.44,0,3:07,145 lbs.,Featherweight
"Nov 28, 1988","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Mike Rodriguez,"6' 4""","['\n\n      Sacramento, California, USA\n    ']",,0,"82""",John Allan,3,Southpaw,70,4.31,0,0.00,0,5:00,205 lbs.,Light Heavyweight
"Feb 22, 1993","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,John Allan,"6' 3""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,3,"75""",John Allan,3,Orthodox,55,3.59,3,2.54,4,5:00,205 lbs.,Light Heavyweight
"Feb 15, 1985","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Cezar Ferreira,"6' 1""","['\n\n      Sacramento, California, USA\n    ']",,0,"78""",Marvin Vettori,3,Southpaw,39,1.90,0,2.69,0,5:00,185 lbs.,Middleweight
"Sep 20, 1993","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Marvin Vettori,"6' 0""","['\n\n      Sacramento, California, USA\n    ']",U-DEC,2,"74""",Marvin Vettori,3,Southpaw,78,3.75,0,1.70,2,5:00,185 lbs.,Middleweight
"Jul 22, 1996","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Wellington Turman,"6' 0""","['\n\n      Sacramento, California, USA\n    ']",,7,"72""",Karl Roberson,3,Orthodox,25,1.67,2,4.00,4,5:00,185 lbs.,Middleweight
"Oct 04, 1990","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Karl Roberson,"6' 1""","['\n\n      Sacramento, California, USA\n    ']",S-DEC,1,"74""",Karl Roberson,3,Southpaw,50,3.19,0,1.07,0,5:00,185 lbs.,Middleweight
"Feb 16, 1991","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Mirsad Bektic,"5' 8""","['\n\n      Sacramento, California, USA\n    ']",Punches,0,"70""",Josh Emmett,1,Orthodox,10,2.88,0,3.38,0,4:25,145 lbs.,Featherweight
"Mar 04, 1985","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Josh Emmett,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",KO/TKO,1,"70""",Josh Emmett,1,Orthodox,27,3.63,0,1.50,0,4:25,145 lbs.,Featherweight
"Aug 31, 1992","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Ricky Simon,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",Punch,0,"69""",Urijah Faber,1,Orthodox,4,2.72,0,6.66,0,0:46,135 lbs.,Bantamweight
"May 14, 1979","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Urijah Faber,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",KO/TKO,0,"67""",Urijah Faber,1,Orthodox,11,2.68,0,1.59,0,0:46,135 lbs.,Bantamweight
"Mar 01, 1995","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Aspen Ladd,"5' 6""","['\n\n      Sacramento, California, USA\n    ']",Punch,0,"66""",Germaine de Randamie,1,Orthodox,0,5.52,0,2.29,0,0:16,135 lbs.,Women's Bantamweight
"Apr 24, 1984","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Germaine de Randamie,"5' 9""","['\n\n      Sacramento, California, USA\n    ']",KO/TKO,0,"71""",Germaine de Randamie,1,Orthodox,4,2.99,0,0.00,0,0:16,135 lbs.,Women's Bantamweight
"Nov 04, 1986","['\n      February 23, 2019\n    ']",UFC Fight Night: Blachowicz vs. Santos,Rustam Khabilov,"5' 8""","['\n\n      Prague, Czech Republic\n    ']",,0,"73""",Diego Ferreira,3,Orthodox,43,2.10,0,3.94,3,5:00,155 lbs.,Lightweight
"Jul 14, 1990","['\n      February 17, 2019\n    ']",UFC Fight Night: Ngannou vs. Velasquez,Alexandra Albu,"5' 2""","['\n\n      Phoenix, Arizona, USA\n    ']",Rear Naked Choke,0,"63""",Emily Whitmire,1,Orthodox,2,5.13,0,3.05,0,1:01,115 lbs.,Women's Strawweight
"Feb 03, 1991","['\n      February 23, 2019\n    ']",UFC Fight Night: Blachowicz vs. Santos,Damir Ismagulov,"5' 10""","['\n\n      Prague, Czech Republic\n    ']",U-DEC,0,--,Damir Ismagulov,3,Orthodox,64,3.27,0,2.50,0,5:00,155 lbs.,Lightweight
"Mar 01, 1989","['\n      February 09, 2019\n    ']",UFC 234: Adesanya vs. Silva,Wuliji Buren,"5' 9""","['\n\n      Melbourne, Victoria, Australia\n    ']",,7,"69""",Jonathan Martinez,3,Orthodox,17,1.63,1,3.38,3,5:00,135 lbs.,Bantamweight
"Jan 31, 1989","['\n      January 19, 2019\n    ']",UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart,"6' 2""","['\n\n      Brooklyn, New York, USA\n    ']",Rear Naked Choke,0,"76""",Chance Rencountre,1,Orthodox,2,1.16,0,3.86,0,2:25,170 lbs.,Welterweight
"Aug 22, 1988","['\n      February 02, 2019\n    ']",UFC Fight Night: Assuncao vs. Moraes 2,Magomed Bibulatov,"5' 5""","['\n\n      Fortaleza, Ceara, Brazil\n    ']",,0,"65""",Rogerio Bontorin,3,Orthodox,58,3.60,0,2.85,4,5:00,125 lbs.,Flyweight
"May 15, 1979","['\n      December 15, 2018\n    ']",UFC Fight Night: Lee vs. Iaquinta,Chris de la Rocha,"6' 3""","['\n\n      Milwaukee, Wisconsin, USA\n    ']",Knee,0,"80""",Juan Adams,3,Orthodox,41,4.08,0,2.02,1,0:58,250 lbs.,Heavyweight
"Aug 19, 1986","['\n      December 29, 2018\n    ']",UFC 232: Jones vs. Gustafsson 2,Brian Kelleher,"5' 6""","['\n\n      Los Angeles, California, USA\n    ']",D'Arce Choke,0,"66""",Montel Jackson,1,Switch,6,5.01,0,1.25,0,1:40,135 lbs.,Bantamweight
"Jul 23, 1986","['\n      December 08, 2018\n    ']",UFC 231: Holloway vs. Ortega,Chad Laprise,"5' 10""","['\n\n      Toronto, Ontario, Canada\n    ']",Punch,0,"71""",Dhiego Lima,1,Orthodox,8,4.78,0,1.05,0,1:37,170 lbs.,Welterweight
"Aug 11, 1995","['\n      December 01, 2018\n    ']",UFC Fight Night: Dos Santos vs. Tuivasa,Alex Gorgees,"6' 2""","['\n\n      Adelaide, South Australia, Australia\n    ']",,0,"74""",Damir Ismagulov,3,Switch,10,0.67,0,0.00,0,5:00,155 lbs.,Lightweight
"Jan 20, 1996","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Su Mudaerji,"5' 8""","['\n\n      Beijing, China\n    ']",Armbar,0,"72""",Louis Smolka,2,Southpaw,18,2.53,2,0.00,0,2:07,135 lbs.,Bantamweight
"Jun 29, 1983","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Ricky Rainey,"6' 1""","['\n\n      Las Vegas, Nevada, USA\n    ']",Punches,0,"77""",Tim Means,1,Switch,6,2.55,0,0.95,0,1:18,170 lbs.,Welterweight
"Feb 05, 1992","['\n      November 03, 2018\n    ']",UFC 230: Cormier vs. Lewis,Adam Wieczorek,"6' 5""","['\n\n      New York City, New York, USA\n    ']",,1,"81""",Marcos Rogerio de Lima,3,Orthodox,7,1.68,0,0.41,1,5:00,250 lbs.,Heavyweight
"Mar 01, 1988","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Devin Powell,"6' 0""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",,0,"73""",Jesus Pinedo,3,Orthodox,58,2.88,0,0.00,0,5:00,155 lbs.,Lightweight
"Oct 01, 1983","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Ryan LaFlare,"6' 1""","['\n\n      Las Vegas, Nevada, USA\n    ']",Kick,0,"74""",Anthony Rocco Martin,3,Southpaw,35,2.89,0,2.13,0,1:00,170 lbs.,Welterweight
"May 31, 1992","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Jessin Ayari,"6' 0""","['\n\n      Moncton, New Brunswick, Canada\n    ']",,0,"73""",Stevie Ray,3,Orthodox,63,3.58,0,0.00,0,5:00,155 lbs.,Lightweight
"Jun 24, 1991","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,Joby Sanchez,"5' 6""","['\n\n      Denver, Colorado, USA\n    ']",,0,"68""",Mark De La Rosa,3,Orthodox,55,3.22,0,0.95,0,5:00,135 lbs.,Bantamweight
"Feb 27, 1987","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Thibault Gouti,"5' 10""","['\n\n      Moncton, New Brunswick, Canada\n    ']",,0,"72""",Nasrat Haqparast,3,Orthodox,78,3.68,0,1.23,0,5:00,155 lbs.,Lightweight
"Nov 12, 1990","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Don Madge,"6' 0""","['\n\n      Moncton, New Brunswick, Canada\n    ']",KO/TKO,0,"72""",Don Madge,2,Southpaw,21,4.01,1,0.00,0,0:14,155 lbs.,Lightweight
"Feb 27, 1991","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Sean Strickland,"6' 1""","['\n\n      Moncton, New Brunswick, Canada\n    ']",KO/TKO,1,"76""",Sean Strickland,2,Orthodox,65,4.34,0,1.37,0,3:10,170 lbs.,Welterweight
"Aug 22, 1995","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Nasrat Haqparast,"5' 10""","['\n\n      Moncton, New Brunswick, Canada\n    ']",U-DEC,0,"72""",Nasrat Haqparast,3,Southpaw,124,5.42,0,0.33,0,5:00,155 lbs.,Lightweight
"Nov 24, 1985","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,John Gunther,"5' 9""","['\n\n      Denver, Colorado, USA\n    ']",Rear Naked Choke,0,"72""",Davi Ramos,1,Orthodox,1,1.65,0,7.08,0,1:57,155 lbs.,Lightweight
"Jul 14, 1987","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Alex Garcia,"5' 9""","['\n\n      Moncton, New Brunswick, Canada\n    ']",,2,"72""",Court McGee,3,Orthodox,27,1.81,0,3.72,1,5:00,170 lbs.,Welterweight
"Oct 22, 1991","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,Amanda Cooper,"5' 3""","['\n\n      Denver, Colorado, USA\n    ']",,3,"64""",Ashley Yoder,3,Switch,51,3.55,2,1.53,2,5:00,115 lbs.,Women's Strawweight
"Aug 11, 1986","['\n      October 27, 2018\n    ']",UFC Fight Night: Oezdemir vs. Smith,Artem Lobov,"5' 9""","['\n\n      Moncton, New Brunswick, Canada\n    ']",,0,"65""",Michael Johnson,3,Southpaw,67,3.52,0,0.39,0,5:00,145 lbs.,Featherweight
"Oct 06, 1992","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,Yair Rodriguez,"5' 11""","['\n\n      Denver, Colorado, USA\n    ']",KO/TKO,0,"71""",Yair Rodriguez,5,,119,4.06,0,1.02,0,4:59,145 lbs.,Featherweight
"May 11, 1985","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,Chas Skelly,"5' 11""","['\n\n      Denver, Colorado, USA\n    ']",D'Arce Choke,2,"72""",Bobby Moffett,2,Orthodox,30,2.12,0,1.83,1,2:43,145 lbs.,Featherweight
"Sep 05, 1988","['\n      November 10, 2018\n    ']",UFC Fight Night: Korean Zombie vs. Rodriguez,Raquel Pennington,"5' 7""","['\n\n      Denver, Colorado, USA\n    ']",,0,"67""",Germaine de Randamie,3,Orthodox,24,3.42,0,1.16,0,5:00,135 lbs.,Women's Bantamweight
"Jul 19, 1983","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Alan Patrick,"5' 11""","['\n\n      Las Vegas, Nevada, USA\n    ']",Elbows,0,"74""",Scott Holtzman,3,Southpaw,25,1.88,0,3.92,0,3:42,155 lbs.,Lightweight
"May 09, 1979","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Gray Maynard,"5' 9""","['\n\n      Las Vegas, Nevada, USA\n    ']",Kick,0,"70""",Nik Lentz,2,Orthodox,13,1.92,0,2.91,0,1:19,155 lbs.,Lightweight
"Sep 18, 1984","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Felice Herrig,"5' 4""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"65""",Michelle Waterson,3,Orthodox,51,3.69,0,1.20,1,5:00,115 lbs.,Women's Strawweight
"Oct 24, 1988","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Alexander Volkov,"6' 7""","['\n\n      Las Vegas, Nevada, USA\n    ']",Punches,3,"80""",Derrick Lewis,3,Orthodox,121,5.31,0,0.86,1,4:49,250 lbs.,Heavyweight
"Sep 20, 1988","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Khabib Nurmagomedov,"5' 10""","['\n\n      Las Vegas, Nevada, USA\n    ']",SUB,5,"70""",Khabib Nurmagomedov,4,Orthodox,70,4.29,1,5.09,3,3:03,155 lbs.,Lightweight
"Sep 04, 1994","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Humberto Bandenay,"5' 11""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",,0,--,Austin Arnett,3,Southpaw,30,2.30,0,1.87,2,5:00,145 lbs.,Featherweight
"Jul 14, 1988","['\n      October 06, 2018\n    ']",UFC 229: Khabib vs. McGregor,Conor McGregor,"5' 9""","['\n\n      Las Vegas, Nevada, USA\n    ']",Neck Crank,0,"74""",Khabib Nurmagomedov,4,Southpaw,51,5.27,0,0.75,0,3:03,155 lbs.,Lightweight
"Oct 07, 1989","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Ulka Sasaki,"5' 10""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",Rear Naked Choke,0,"71""",Alexandre Pantoja,1,Southpaw,7,2.16,0,3.03,0,2:18,125 lbs.,Flyweight
"Apr 26, 1986","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Bartosz Fabinski,"6' 0""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",Guillotine Choke,0,"75""",Michel Prazeres,1,Orthodox,1,2.22,0,7.17,0,1:02,170 lbs.,Welterweight
"Dec 19, 1979","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Guido Cannetti,"5' 6""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",Rear Naked Choke,1,"68""",Marlon Vera,2,Southpaw,24,2.80,0,2.80,2,1:31,135 lbs.,Bantamweight
"Aug 03, 1987","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Neil Magny,"6' 3""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",Punch,0,"80""",Santiago Ponzinibbio,4,Orthodox,72,3.86,0,2.62,0,2:36,170 lbs.,Welterweight
"Sep 26, 1986","['\n      November 17, 2018\n    ']",UFC Fight Night: Magny vs. Ponzinibbio,Santiago Ponzinibbio,"6' 0""","['\n\n      Buenos Aires, Buenos Aires, Argentina\n    ']",KO/TKO,0,"73""",Santiago Ponzinibbio,4,Orthodox,79,4.27,0,0.54,0,2:36,170 lbs.,Welterweight
"Jul 14, 1992","['\n      November 03, 2018\n    ']",UFC 230: Cormier vs. Lewis,Jason Knight,"5' 10""","['\n\n      New York City, New York, USA\n    ']",,0,"71""",Jordan Rinaldi,3,Orthodox,12,2.95,0,1.31,0,5:00,145 lbs.,Featherweight
"Jun 17, 1984","['\n      November 03, 2018\n    ']",UFC 230: Cormier vs. Lewis,Chris Weidman,"6' 2""","['\n\n      New York City, New York, USA\n    ']",Punches,0,"78""",Jacare Souza,3,Orthodox,68,3.15,0,3.76,1,2:46,185 lbs.,Middleweight
"Jul 28, 1987","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Darrell Horcher,"5' 10""","['\n\n      Las Vegas, Nevada, USA\n    ']",Guillotine Choke,0,"70""",Roosevelt Roberts,1,Southpaw,10,2.05,0,0.35,0,4:50,155 lbs.,Lightweight
"Aug 21, 1992","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Leah Letson,"5' 7""","['\n\n      Las Vegas, Nevada, USA\n    ']",S-DEC,0,"71""",Leah Letson,3,,73,4.87,0,0.00,0,5:00,145 lbs.,Women's Featherweight
"Apr 08, 1993","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Julija Stoliarenko,"5' 7""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"66""",Leah Letson,3,,57,3.80,1,0.00,0,5:00,145 lbs.,Women's Featherweight
"Mar 20, 1979","['\n      November 03, 2018\n    ']",UFC 230: Cormier vs. Lewis,Daniel Cormier,"5' 11""","['\n\n      New York City, New York, USA\n    ']",SUB,4,"72""",Daniel Cormier,2,Orthodox,19,3.84,1,2.04,4,2:14,235 lbs.,Heavyweight
"Apr 12, 1989","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Rick Glenn,"6' 0""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"70""",Kevin Aguilar,3,Southpaw,74,4.31,0,0.67,0,5:00,145 lbs.,Featherweight
"Apr 20, 1984","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Michel Batista,"6' 3""","['\n\n      Las Vegas, Nevada, USA\n    ']",Triangle Choke,0,--,Maurice Greene,1,,0,0.00,0,6.72,1,2:14,260 lbs.,Heavyweight
"Aug 04, 1984","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Bryan Caraway,"5' 8""","['\n\n      Las Vegas, Nevada, USA\n    ']",Kick,0,"68""",Pedro Munhoz,1,Orthodox,20,2.53,0,2.57,0,2:39,135 lbs.,Bantamweight
"Oct 18, 1989","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Ji Yeon Kim,"5' 7""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"72""",Antonina Shevchenko,3,Orthodox,33,3.90,0,0.00,0,5:00,125 lbs.,Women's Flyweight
"Oct 09, 1980","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Juan Espino,"6' 4""","['\n\n      Las Vegas, Nevada, USA\n    ']",SUB,4,"82""",Juan Espino,1,,22,6.11,2,8.33,2,3:36,250 lbs.,Heavyweight
"Jun 15, 1989","['\n      November 30, 2018\n    ']",UFC - TUF 28 Finale,Justin Frazier,"6' 0""","['\n\n      Las Vegas, Nevada, USA\n    ']",Armbar,0,"75""",Juan Espino,1,Southpaw,4,1.11,0,0.00,0,3:36,265 lbs.,Heavyweight
"Apr 07, 1995","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Hu Yaozong,"6' 3""","['\n\n      Beijing, China\n    ']",,0,"72""",Rashad Coulter,3,Orthodox,92,4.43,0,0.00,0,5:00,205 lbs.,Light Heavyweight
"Nov 10, 1988","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Martin Day,"5' 10""","['\n\n      Beijing, China\n    ']",,0,"73""",Liu Pingyuan,3,Orthodox,100,5.60,2,1.00,1,5:00,135 lbs.,Bantamweight
"Apr 18, 1996","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Wu Yanan,"5' 8""","['\n\n      Beijing, China\n    ']",SUB,0,"66""",Wu Yanan,1,Orthodox,18,2.11,1,0.79,0,4:00,125 lbs.,Women's Flyweight
"Nov 27, 1981","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Rashad Coulter,"5' 11""","['\n\n      Beijing, China\n    ']",U-DEC,0,"76""",Rashad Coulter,3,Orthodox,98,4.82,0,0.00,0,5:00,205 lbs.,Light Heavyweight
"Aug 01, 1990","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,David Zawada,"6' 0""","['\n\n      Beijing, China\n    ']",Kick,1,"75""",Li Jingliang,3,Orthodox,73,3.64,0,1.03,0,4:07,170 lbs.,Welterweight
"Mar 10, 1990","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Song Kenan,"6' 0""","['\n\n      Beijing, China\n    ']",,0,"71""",Alex Morono,3,Orthodox,61,4.28,0,0.00,0,5:00,170 lbs.,Welterweight
"Mar 20, 1988","['\n      November 24, 2018\n    ']",UFC Fight Night: Blaydes vs. Ngannou 2,Li Jingliang,"6' 0""","['\n\n      Beijing, China\n    ']",KO/TKO,2,"71""",Li Jingliang,3,Orthodox,89,5.01,0,1.14,1,4:07,170 lbs.,Welterweight
"Jan 21, 1987","['\n      December 08, 2018\n    ']",UFC 231: Holloway vs. Ortega,Matthew Lopez,"5' 7""","['\n\n      Toronto, Ontario, Canada\n    ']",,1,"69""",Brad Katona,3,Southpaw,69,3.13,1,3.32,4,5:00,135 lbs.,Bantamweight
"Feb 23, 1989","['\n      December 08, 2018\n    ']",UFC 231: Holloway vs. Ortega,Olivier Aubin-Mercier,"5' 9""","['\n\n      Toronto, Ontario, Canada\n    ']",,0,"70""",Gilbert Burns,3,Southpaw,40,2.59,0,2.63,0,5:00,155 lbs.,Lightweight
